Source,Target,Type,Id,Label,Weight
179,5,Directed,19241,,1.0
179,43,Directed,177,,1.0
179,2246,Directed,4002,,1.0
180,5,Directed,13606,,1.0
180,43,Directed,178,,1.0
180,1232,Directed,6344,,1.0
181,5,Directed,14057,,1.0
181,8,Directed,11794,,1.0
181,43,Directed,179,,1.0
181,49,Directed,3638,,1.0
181,572,Directed,7045,,1.0
181,2296,Directed,2706,,1.0
181,3739,Directed,4919,,1.0
181,3877,Directed,5212,,1.0
182,43,Directed,180,,1.0
183,43,Directed,181,,1.0
184,5,Directed,13727,,1.0
184,43,Directed,182,,1.0
185,43,Directed,183,,1.0
186,5,Directed,13480,,1.0
186,43,Directed,184,,1.0
187,5,Directed,21840,,1.0
187,8,Directed,11646,,1.0
187,43,Directed,185,,1.0
187,720,Directed,2400,,1.0
187,1109,Directed,3007,,1.0
188,43,Directed,186,,1.0
189,5,Directed,15670,,1.0
189,43,Directed,187,,1.0
189,572,Directed,7765,,1.0
189,2794,Directed,12629,,1.0
189,5868,Directed,8714,,1.0
190,43,Directed,188,,1.0
191,5,Directed,21716,,1.0
191,8,Directed,11612,,1.0
191,12,Directed,12599,,1.0
191,43,Directed,189,,1.0
191,49,Directed,3797,,1.0
191,653,Directed,8511,,1.0
191,720,Directed,2461,,1.0
191,1080,Directed,5604,,1.0
191,1088,Directed,1255,,1.0
191,1109,Directed,3050,,1.0
191,2008,Directed,11959,,1.0
191,2246,Directed,4660,,1.0
191,4208,Directed,5794,,1.0
192,5,Directed,21112,,1.0
192,8,Directed,11804,,1.0
192,10,Directed,12168,,1.0
192,11,Directed,12546,,1.0
192,12,Directed,12620,,1.0
192,43,Directed,190,,1.0
192,49,Directed,3677,,1.0
192,572,Directed,8112,,1.0
192,653,Directed,8606,,1.0
192,720,Directed,2503,,1.0
192,860,Directed,1110,,1.0
192,1080,Directed,5580,,1.0
192,1109,Directed,2957,,1.0
192,1976,Directed,2754,,1.0
192,2008,Directed,11999,,1.0
192,2246,Directed,4885,,1.0
192,3739,Directed,4998,,1.0
192,3792,Directed,5003,,1.0
192,3982,Directed,5252,,1.0
192,3993,Directed,5524,,1.0
192,4142,Directed,5713,,1.0
192,4208,Directed,5795,,1.0
192,4252,Directed,6338,,1.0
192,8327,Directed,11455,,1.0
193,43,Directed,191,,1.0
193,572,Directed,7321,,1.0
193,2692,Directed,3249,,1.0
193,4252,Directed,5916,,1.0
193,5007,Directed,12236,,1.0
194,43,Directed,192,,1.0
195,43,Directed,193,,1.0
195,49,Directed,3749,,1.0
195,572,Directed,7247,,1.0
195,597,Directed,3334,,1.0
195,720,Directed,1738,,1.0
195,1088,Directed,1305,,1.0
195,1232,Directed,6405,,1.0
195,4252,Directed,5979,,1.0
195,5007,Directed,12448,,1.0
195,8327,Directed,11456,,1.0
196,43,Directed,194,,1.0
197,5,Directed,14117,,1.0
197,43,Directed,195,,1.0
198,8,Directed,11622,,1.0
198,43,Directed,196,,1.0
199,43,Directed,197,,1.0
199,5868,Directed,9609,,1.0
200,43,Directed,198,,1.0
201,5,Directed,18879,,1.0
201,8,Directed,11785,,1.0
201,43,Directed,199,,1.0
201,720,Directed,2108,,1.0
201,3739,Directed,4932,,1.0
201,4252,Directed,6315,,1.0
202,43,Directed,200,,1.0
203,43,Directed,201,,1.0
204,5,Directed,15846,,1.0
204,43,Directed,202,,1.0
205,43,Directed,203,,1.0
206,43,Directed,204,,1.0
207,43,Directed,205,,1.0
207,2600,Directed,3185,,1.0
208,43,Directed,206,,1.0
208,49,Directed,3598,,1.0
209,5,Directed,15848,,1.0
209,43,Directed,207,,1.0
209,653,Directed,8499,,1.0
210,5,Directed,15037,,1.0
210,43,Directed,208,,1.0
210,572,Directed,7695,,1.0
210,653,Directed,8315,,1.0
210,720,Directed,1597,,1.0
210,1109,Directed,2887,,1.0
210,2573,Directed,3074,,1.0
210,2600,Directed,3221,,1.0
210,4252,Directed,6141,,1.0
210,4689,Directed,12113,,1.0
210,5868,Directed,9398,,1.0
210,8327,Directed,11477,,1.0
211,43,Directed,209,,1.0
212,43,Directed,210,,1.0
213,43,Directed,211,,1.0
214,43,Directed,212,,1.0
215,43,Directed,213,,1.0
215,5868,Directed,9166,,1.0
216,5,Directed,20216,,1.0
216,43,Directed,214,,1.0
217,43,Directed,215,,1.0
218,5,Directed,13837,,1.0
218,43,Directed,216,,1.0
218,4252,Directed,6043,,1.0
219,5,Directed,13681,,1.0
219,43,Directed,217,,1.0
220,43,Directed,218,,1.0
221,43,Directed,219,,1.0
222,43,Directed,220,,1.0
223,5,Directed,16355,,1.0
223,43,Directed,221,,1.0
223,572,Directed,7615,,1.0
224,43,Directed,222,,1.0
225,43,Directed,223,,1.0
226,43,Directed,224,,1.0
227,43,Directed,225,,1.0
228,43,Directed,226,,1.0
229,5,Directed,14108,,1.0
229,43,Directed,227,,1.0
230,43,Directed,228,,1.0
231,5,Directed,19335,,1.0
231,43,Directed,229,,1.0
231,720,Directed,2287,,1.0
232,43,Directed,230,,1.0
233,5,Directed,16374,,1.0
233,43,Directed,231,,1.0
234,43,Directed,232,,1.0
235,5,Directed,13860,,1.0
235,43,Directed,233,,1.0
235,720,Directed,1695,,1.0
236,43,Directed,234,,1.0
237,5,Directed,14765,,1.0
237,43,Directed,235,,1.0
237,572,Directed,8063,,1.0
237,4208,Directed,5746,,1.0
238,43,Directed,236,,1.0
239,5,Directed,14916,,1.0
239,43,Directed,237,,1.0
240,5,Directed,13311,,1.0
240,43,Directed,238,,1.0
241,43,Directed,239,,1.0
241,49,Directed,3558,,1.0
241,720,Directed,2044,,1.0
242,43,Directed,240,,1.0
243,5,Directed,19830,,1.0
243,43,Directed,241,,1.0
243,49,Directed,3534,,1.0
243,720,Directed,2299,,1.0
243,2296,Directed,2598,,1.0
244,43,Directed,242,,1.0
244,572,Directed,7946,,1.0
244,1106,Directed,5286,,1.0
244,1109,Directed,2914,,1.0
244,1232,Directed,6470,,1.0
244,4208,Directed,5731,,1.0
245,43,Directed,243,,1.0
